id	name	also_known_as	date_of_birth	date_of_death	places_of_operation	biography	biography_author	date_of_biography	external_links	uuid	source	source_identifier	external_references	date_modified
79918	Ellis Elias							2023-05-09T12:54:55.547984+10:00		8b496772-240a-4a83-ba6a-14cbab01649f	Vernon	18737		2023-06-14T16:33:30.576250+10:00
84320	The Voxel Agents		2009					2023-05-09T19:54:56.985758+10:00		4bd30461-822b-42ff-a6c2-b3b811381ec9	Vernon	39629		2023-06-14T16:33:30.576250+10:00
82515	Ling Shu							2023-05-09T19:20:07.967003+10:00		008de210-76dc-47b2-b2d4-3e8b7f3faa9a	Vernon	36799		2023-06-14T16:33:30.576250+10:00
73009	Edward Bursch							2023-05-09T19:02:46.228636+10:00		5c4eb897-f12f-4125-9b4e-608fbcc4738e	Vernon	39494		2023-06-14T16:33:30.576250+10:00
81147	Wagner Productions							2023-05-09T17:25:13.906053+10:00		6772dd76-2878-42a6-99c0-67d70af00739	Vernon	14223		2023-06-14T16:33:30.576250+10:00
78472	David Sington							2023-05-09T19:45:46.390830+10:00		81c0d87f-bd2e-4518-90f4-2719b3eb546c	Vernon	17794		2023-06-14T16:33:30.576250+10:00
35603	Flamenco Films SA							2023-05-09T14:33:39.049135+10:00		b0b6ec75-bd5e-4b19-a8e6-6681f7371012	Vernon	8391		2023-06-14T16:33:30.576250+10:00
25972	FM-TV Entertainment							2023-05-09T19:26:27.507135+10:00		8551e706-1494-4a62-8f0a-c5a24cfe4128	Vernon	8412		2023-06-14T16:33:30.576250+10:00
85143	Simone Yasmin							2023-05-09T13:16:01.697458+10:00		1125e990-eb93-4836-b633-f6e52584d7fc	Vernon	40024		2023-06-14T16:33:30.576250+10:00
75168	Ron Hannam							2023-05-09T17:21:10.058545+10:00		81bd5fc8-3889-4c0c-929a-a19067c95934	Vernon	33896		2023-06-14T16:33:30.576250+10:00
74163	Lois Beumer							2023-05-09T11:57:14.512053+10:00		b128661c-31fa-4e60-ae70-580e9434a427	Vernon	23975		2023-06-14T16:33:30.576250+10:00
24599	Kaktus S A							2023-05-09T18:23:25.257771+10:00		31508b14-ff89-4767-b0dd-9f07af42430d	Vernon	9689		2023-06-14T16:33:30.576250+10:00
76441	Harold Hopkins							2023-05-09T19:38:45.820816+10:00		aa51b8be-e2d0-41a3-b822-7cc44784f0cc	Vernon	34141		2023-06-14T16:33:30.576250+10:00
75520	Paul Bang									7b31abfd-eafb-4d29-8db8-c8fb5151f128	Vernon			2023-06-14T16:33:30.576250+10:00
75793	Commentator							2023-05-09T11:33:25.679965+10:00		1130c735-7f26-4b0c-a6b5-11582c7073b1	Vernon	6928		2023-06-14T16:33:30.576250+10:00
81225	Donovan									c38822ac-4caa-4dc3-8216-60a14b517c54	Vernon			2023-06-14T16:33:30.576250+10:00
20891	Vega Film Productions							2023-05-09T18:12:33.576058+10:00		f4546a56-bad5-410f-b257-144ad2242c05	Vernon	14012		2023-06-14T16:33:30.576250+10:00
6723	Warren Dawson							2023-05-09T20:00:45.858900+10:00		1310b3d4-ab7e-40a8-b2fe-a1f5f485e3ba	Vernon	110633		2023-06-14T16:33:30.576250+10:00
11879	Sam Samai							2023-07-05T03:53:04.322508+10:00		b769e277-1295-488e-b52d-272f18000c34	Vernon	3657		2023-07-05T03:53:04.322845+10:00
79355	Gary Busey									c5f55698-aaf5-4e65-89df-0f9c12aa2b26	Vernon			2023-06-14T16:33:30.576250+10:00
75706	C Larry Roberts									495d3636-ad74-48d7-85e6-4f489f1b2645	Vernon			2023-06-14T16:33:30.576250+10:00
78644	Doug Draizin							2023-05-09T18:49:10.727613+10:00		d9e6fe5d-085c-4b4d-a287-22303bad377b	Vernon	18362		2023-06-14T16:33:30.576250+10:00
78485	John H. Williams							2023-05-09T18:32:12.989861+10:00		45e0e16b-3ef2-4274-9ed5-9d737159de31	Vernon	22298		2023-06-14T16:33:30.576250+10:00
81960	Max Hammond							2023-05-09T20:07:52.786735+10:00		fa4343b4-39ba-4261-ad73-f41061de393c	Vernon	36865		2023-06-14T16:33:30.576250+10:00
77749	Penny Ritco							2023-05-09T15:40:28.214296+10:00		953593f3-cf05-42a1-b95a-6bdbdc410c05	Vernon	26423		2023-06-14T16:33:30.576250+10:00
21103	Paul Humfress							2023-05-09T20:03:59.414355+10:00		7d00ce5a-92aa-4196-93ad-318f12018c4f	Vernon	26251		2023-06-14T16:33:30.576250+10:00
12767	Roland Beckett							2023-05-09T19:54:59.453042+10:00		5b3f39f8-a818-45cd-a8ac-45cb64344708	Vernon	28094		2023-06-14T16:33:30.576250+10:00
79477	Cristophe Rossignon							2023-05-09T14:13:21.508928+10:00		7b5537bd-0615-442a-867b-fa14c4a6a4ea	Vernon	17261		2023-06-14T16:33:30.576250+10:00
86280	Melissa Solis							2023-05-09T19:39:53.596303+10:00		86c45ada-7174-4f63-a6a5-62856495b10a	Vernon	40328		2023-06-14T16:33:30.576250+10:00
77712	Alex Rose							2023-05-09T16:43:09.547153+10:00		a93d695b-6b2b-43f2-baca-0a704d8b074b	Vernon	14904		2023-06-14T16:33:30.576250+10:00
75547	David Robbins							2023-05-09T18:01:16.165804+10:00		c0324235-e801-4d1c-9c87-a0d66726e745	Vernon	17773		2023-06-14T16:33:30.576250+10:00
10647	Jade Ng							2023-05-09T19:34:10.949182+10:00		22293034-05df-411f-9ed6-41e159ef8e28	Vernon	2275		2023-06-14T16:33:30.576250+10:00
26203	Nick Comley							2023-05-09T18:02:28.682376+10:00		25d485b5-e4bd-4dce-874e-bfcd772faee7	Vernon	25739		2023-06-14T16:33:30.576250+10:00
84115	ICreateFilms							2023-05-09T13:52:20.646931+10:00		bb4c1bb9-8066-4f69-9950-2f34e59e3599	Vernon	37155		2023-06-14T16:33:30.576250+10:00
83092	Dietrich Mack							2023-05-09T17:09:46.543106+10:00		bad2eea3-cfa7-4eb5-88af-badb95875de0	Vernon	31126		2023-06-14T16:33:30.576250+10:00
8758	Michael Kenny							2023-05-09T15:08:59.377596+10:00		7900080d-3f42-406f-94d9-af60e0a524ee	Vernon	111699		2023-06-14T16:33:30.576250+10:00
80980	Michael London		2000-01-01		United States of America	"Michael London is an American film producer and a partner, with Janice Williams, in Groundswell Productions. He has produced over 20 films including Sideways, The Visitor, Win Win, and Smart People. Earlier on, before Groundswell was formed, his production company Michael London Productions treated to a Paramount first look deal before 2006. Even before that, he was a producer at USA Films/Focus Features. The film Sideways was nominated for an Academy Award for Best Picture in 2005. On the heels of the Academy nomination, London won ""Producer of the Year"" in 2006 at the Palm Springs International Film Festival. London will be the executive producer of the upcoming HBO adaptation of the novel A Visit From the Goon Squad. In 2013, Groundswell was scheduled to produce Mona for the studio New Regency, based on the novel of the same name by Swedish author Dan T. Sehlberg. He has a first look TV deal with Fox 21 in 2013.

"	Wikidata	2022-05-19T12:29:19.026833+10:00	https://en.wikipedia.org/wiki/Michael_London	eb9f4be8-e56a-4c04-8817-1533df689295	Vernon		(Wikidata,Q6832300),(VIAF,1147317),(LOC Auth,nr2004020339),(WorldCat,lccn-nr2004020339)	2023-06-14T16:33:30.576250+10:00
29954	Ellbar Productions							2023-05-09T19:03:48.284481+10:00		0e1c132e-5c03-443f-a066-359aed73a6e1	Vernon	7858		2023-06-14T16:33:30.576250+10:00
11512	Ooi Soon Yen							2023-05-09T20:01:24.268328+10:00		85781d6b-c8c8-4a91-951e-e9b7bce63379	Vernon	3252		2023-06-14T16:33:30.576250+10:00
24997	Journeyman							2023-07-12T22:35:14.892674+10:00		e0bc909b-32e0-4647-929d-69973697f8c7	Vernon	9653		2023-07-12T22:35:14.892956+10:00
77407	Phillip Langner									5c711eba-4857-4f95-8aa5-c5dd05e98864	Vernon			2023-06-14T16:33:30.576250+10:00
11488	Hung Lin							2023-05-09T19:00:57.367204+10:00		bf79b16c-6fe4-4624-bbd7-aa1d1afae9b8	Vernon	3219		2023-06-14T16:33:30.576250+10:00
83499	Andrew Denton							2023-05-09T16:14:17.170122+10:00		cfc02e2b-fb92-4536-a02a-0a5a5941472f	Vernon	32942		2023-06-14T16:33:30.576250+10:00
80911	Kimura Toshiki							2023-05-09T14:52:07.520592+10:00		ab640be6-5bfc-4743-91ea-bd5d9cea1918	Vernon	23347		2023-06-14T16:33:30.576250+10:00
86312	Cecile Richard							2023-06-21T03:41:11.002389+10:00		66a4dc65-9a19-496e-a9b3-6bcc75f3e37c	Vernon	40346		2023-06-21T03:41:11.002786+10:00
15529	D W Griffith Productions							2023-05-09T19:27:05.549684+10:00		82a611b9-6493-414c-9509-d47eaeb869e6	Vernon	4589		2023-06-14T16:33:30.576250+10:00
37128	Jeffrey Blitz							2023-05-09T18:47:22.113690+10:00		91db3630-63dc-4813-9c2b-edcf3a915c18	Vernon	21663		2023-06-14T16:33:30.576250+10:00
81252	Margaret Bodde							2023-05-09T19:29:48.282577+10:00		60a8edc4-5f08-436d-83ee-02472fe9caa3	Vernon	24335		2023-06-14T16:33:30.576250+10:00
80952	Evershine									12946df5-adfc-4dfe-94a5-8616e1486104	Vernon			2023-06-14T16:33:30.576250+10:00
13630	Allen Downs							2023-05-09T16:37:56.175647+10:00		0bac50b8-5f84-4fc9-b477-498368de3dbf	Vernon	15025		2023-06-14T16:33:30.576250+10:00
79796	Bertha Navarro							2023-05-09T13:48:40.570010+10:00		4c19ce18-db0a-4963-90dc-5080d80a67cf	Vernon	15884		2023-06-14T16:33:30.576250+10:00
79433	Don Mulholland							2023-05-09T18:33:49.736279+10:00		47252e51-5c95-4961-b14e-a8b98f031ec9	Vernon	18238		2023-06-14T16:33:30.576250+10:00
77572	Cineplex Odeon Films							2023-05-09T19:59:58.279194+10:00		6bdcb836-b30c-443b-9464-74b99376b710	Vernon	6732		2023-06-14T16:33:30.576250+10:00
75352	Peter Sculthorpe							2023-05-09T13:14:26.968977+10:00		34b8aaad-ce74-4375-bca9-956465ff7d10	Vernon	34617		2023-06-14T16:33:30.576250+10:00
78973	Russell Kennedy							2023-05-09T17:15:26.038046+10:00		ca592eba-1861-4404-8590-d16f202e7945	Vernon	28361		2023-06-14T16:33:30.576250+10:00
84166	Anna Hogarth									82d0e598-a317-4ace-b487-01737a000ccb	Vernon			2023-06-14T16:33:30.576250+10:00
75436	Peter Bilcock							2023-05-09T18:33:08.049244+10:00		b9b150d2-b64d-47f9-bab1-59b40d70c690	Vernon	31942		2023-06-14T16:33:30.576250+10:00
15922	Ytzen Brusse							2023-05-09T20:01:44.200973+10:00		2761d139-31ab-45cc-a02b-73dff7c19b96	Vernon	30606		2023-06-14T16:33:30.576250+10:00
29471	La Sept-Arte							2023-05-09T19:21:47.706542+10:00		00e1b7a8-b1fe-46b8-a9cd-afbfd50060bb	Vernon	9873		2023-06-14T16:33:30.576250+10:00
9230	Jacinda Kicuwens							2023-05-09T19:11:50.670642+10:00		9e7fdc4a-e2e7-423a-bbfc-e30777c211f3	Vernon	112161		2023-06-14T16:33:30.576250+10:00
75281	Jean-Marc Garand							2023-05-09T17:29:38.168296+10:00		5047bfc9-8d08-4422-84a6-da5232dcd1a3	Vernon	21588		2023-06-14T16:33:30.576250+10:00
19720	Soerabaia Pictures							2023-05-09T14:21:36.408068+10:00		58c5d533-3f89-4e42-96fe-4f13dda80ee2	Vernon	12706		2023-06-14T16:33:30.576250+10:00
30169	Mick Molloy							2023-05-09T19:12:20.243013+10:00		3de195e3-b2fc-426b-a35c-ecaf793cbb10	Vernon	25326		2023-06-14T16:33:30.576250+10:00
86482	Steven Rhall					"Steven Rhall is a post-conceptual artist operating from a First Nation, white-passing, queer, cis male positionality, geographically located on neighbouring Woiwurrung and Wathaurung lands. Rhall’s cultural background consists of Taungurung and colonial heritages – a state endemic to living in a colonised society – but goes by Taungurung when asked. His alter-ego Blak Metal is less defined and uses they/them pronouns.

Rhall’s art practice finds expression in ideas of institutional critique, interrogating modes of representation, classification and hierarchy both within and external to the art world(s). He works across various forms and interventions, including installation, performance, process led methodologies, curatorial projects, sculpture and art within the public realm. Many of his projects propose, explore and critique the exchange of economic and cultural capital found in the matrix of relations and intersections of First Nation art production, presentation and encounter.

Rhall recently concluded a five year tenure as lecturer for the Master of Contemporary Art programme at the Victorian College of the Arts and now, alongside his art practice, supports First Nations participants in the Statewide Indigenous Arts in Prisons and Community Program. Rhall is also represented by MARS Gallery on Birrarung-ga land (Melbourne, Australia)."		2023-05-09T12:38:09.899237+10:00		706257c1-8f4c-4542-a547-ce3858f4f2b9	Vernon	40387		2023-06-14T16:33:30.576250+10:00
27563	Christopher Menaul							2023-05-09T19:52:51.988403+10:00		364d32f9-1721-4e0d-a239-c9f433e016cd	Vernon	16975		2023-06-14T16:33:30.576250+10:00
77770	Tim Adlide									905e90ea-ad1d-4dec-8e3b-697e16bb5c1b	Vernon			2023-06-14T16:33:30.576250+10:00
79562	Andrew Fleming				United States of America			2023-05-09T19:39:20.558844+10:00	https://en.wikipedia.org/wiki/Andrew_Fleming	140aeb4f-859c-44d2-9211-af02980383a6	Vernon	15163	(Wikidata,Q504706),(VIAF,61746053),(LOC Auth,no96068044),(WorldCat,lccn-no96068044)	2023-06-14T16:33:30.576250+10:00
16893	Westinghouse Broadcasting							2023-05-09T18:44:13.734282+10:00		2eb85c4f-6470-4d94-89d4-6bc9e853bd74	Vernon	14321		2023-06-14T16:33:30.576250+10:00
84193	Peter Hourigan							2023-05-09T13:18:37.006335+10:00		329a4b6f-47df-4bc4-8221-6d62009baf45	Vernon	37384		2023-06-14T16:33:30.576250+10:00
39382	Australian Credit Unions							2023-05-09T18:06:38.048555+10:00		96b0c0c6-d220-47a7-b93c-fa9584a7811b	Vernon	4185		2023-06-14T16:33:30.576250+10:00
9180	Karim Degal							2023-05-09T19:42:51.535691+10:00		64afac05-71c2-4788-9ec8-01a8754bcdf2	Vernon	1755		2023-06-14T16:33:30.576250+10:00
82033	Arts Council England							2023-05-09T11:48:27.860625+10:00		05775d92-f706-409c-ac11-4ca1edfa244f	Vernon	37316		2023-06-14T16:33:30.576250+10:00
77989	Alastair Reid							2023-05-09T19:13:01.205225+10:00		6d98c9f7-5ac3-476b-9bad-0b488d69ee27	Vernon	14828		2023-06-14T16:33:30.576250+10:00
13818	Triangle Productions							2023-05-09T18:39:13.802888+10:00		14687db6-499f-41a4-bdea-62f07057eb7c	Vernon	13702		2023-06-14T16:33:30.576250+10:00
74516	Bob Whittaker							2023-05-09T14:47:18.107717+10:00		0d83b316-639a-4f99-ad63-504a65b7cb16	Vernon	16117		2023-06-14T16:33:30.576250+10:00
73291	Steven Bachelder							2023-05-09T17:08:56.793496+10:00		fb2b94b1-d979-4da2-bd26-46d41f55ed23	Vernon	1234		2023-06-14T16:33:30.576250+10:00
15600	John Richmond							2023-05-09T19:43:16.508322+10:00		3558c6a9-9fcb-40d1-8f8f-2bbac0de8818	Vernon	22497		2023-06-14T16:33:30.576250+10:00
83836	Luke Jenkins							2023-05-09T19:11:49.536647+10:00		04cbe2cc-7e30-4848-a69b-084aa38189f5	Vernon	35544		2023-06-14T16:33:30.576250+10:00
11448	Justin Seau							2023-05-09T19:58:05.020092+10:00		1d3a8b17-cecb-43c8-8931-264529e0c018	Vernon	3351		2023-06-14T16:33:30.576250+10:00
84797	Fremantle Australia									32f08829-1b37-48fb-bf0d-46c55287308a	Vernon			2023-06-14T16:33:30.576250+10:00
86666	Jim Black							2023-05-09T15:12:01.723952+10:00		1900cdd5-0175-4913-adf2-1f70b843c21c	Vernon	21861		2023-06-14T16:33:30.576250+10:00
35654	Aliceleo							2023-05-09T11:38:35.991945+10:00		8067173a-f344-474e-9b32-25e68aef587e	Vernon	5120		2023-06-14T16:33:30.576250+10:00
75486	Gert Kirschner							2023-05-09T18:00:34.259801+10:00		56079acd-d8ed-4fbb-9e6d-1b88fa748aea	Vernon	37511		2023-06-14T16:33:30.576250+10:00
21264	Jason Films Productions							2023-05-09T19:58:36.438952+10:00		4147cfdc-7292-4fb9-8fd0-c639a83b55b1	Vernon	9565		2023-06-14T16:33:30.576250+10:00
